season,team,round_start,round_end,wins,draws,losses,points,goals_scored,goals_received,position
99/00,Chelsea FC,1999-08-07,1999-08-08,1,0,0,3,4,0,1
99/00,Wimbledon FC,1999-08-07,1999-08-08,1,0,0,3,3,2,2
99/00,Arsenal FC,1999-08-07,1999-08-08,1,0,0,3,2,1,3
99/00,Liverpool FC,1999-08-07,1999-08-08,1,0,0,3,2,1,3
99/00,Aston Villa,1999-08-07,1999-08-08,1,0,0,3,1,0,5
99/00,Bradford City,1999-08-07,1999-08-08,1,0,0,3,1,0,5
99/00,Southampton FC,1999-08-07,1999-08-08,1,0,0,3,1,0,5
99/00,West Ham United,1999-08-07,1999-08-08,1,0,0,3,1,0,5
99/00,Everton FC,1999-08-07,1999-08-08,0,1,0,1,1,1,9
99/00,Manchester United,1999-08-07,1999-08-08,0,1,0,1,1,1,9
99/00,Derby County,1999-08-07,1999-08-08,0,1,0,1,0,0,11
99/00,Leeds United,1999-08-07,1999-08-08,0,1,0,1,0,0,11
99/00,Watford FC,1999-08-07,1999-08-08,0,0,1,0,2,3,13
99/00,Leicester City,1999-08-07,1999-08-08,0,0,1,0,1,2,14
99/00,Sheffield Wednesday,1999-08-07,1999-08-08,0,0,1,0,1,2,14
99/00,Coventry City,1999-08-07,1999-08-08,0,0,1,0,0,1,16
99/00,Middlesbrough FC,1999-08-07,1999-08-08,0,0,1,0,0,1,16
99/00,Newcastle United,1999-08-07,1999-08-08,0,0,1,0,0,1,16
99/00,Tottenham Hotspur,1999-08-07,1999-08-08,0,0,1,0,0,1,16
99/00,Sunderland AFC,1999-08-07,1999-08-08,0,0,1,0,0,4,20
99/00,Aston Villa,1999-08-09,2000-01-08,2,0,0,6,4,0,1
99/00,Arsenal FC,1999-08-09,2000-01-08,2,0,0,6,4,2,2
99/00,Liverpool FC,1999-08-09,2000-01-08,2,0,0,6,3,1,3
99/00,Chelsea FC,1999-08-09,2000-01-08,1,1,0,4,5,1,4
99/00,Manchester United,1999-08-09,2000-01-08,1,1,0,4,5,1,4
99/00,Leeds United,1999-08-09,2000-01-08,1,1,0,4,3,0,6
99/00,Bradford City,1999-08-09,2000-01-08,1,1,0,4,2,1,7
99/00,Tottenham Hotspur,1999-08-09,2000-01-08,1,0,1,3,3,2,8
99/00,Wimbledon FC,1999-08-09,2000-01-08,1,0,1,3,5,5,9
99/00,Middlesbrough FC,1999-08-09,2000-01-08,1,0,1,3,3,3,10
99/00,Leicester City,1999-08-09,2000-01-08,1,0,1,3,2,2,11
99/00,West Ham United,1999-08-09,2000-01-08,1,0,1,3,1,1,12
99/00,Sunderland AFC,1999-08-09,2000-01-08,1,0,1,3,2,4,13
99/00,Southampton FC,1999-08-09,2000-01-08,1,0,1,3,1,3,14
99/00,Derby County,1999-08-09,2000-01-08,0,1,1,1,1,2,15
99/00,Everton FC,1999-08-09,2000-01-08,0,1,1,1,1,4,16
99/00,Coventry City,1999-08-09,2000-01-08,0,0,2,0,0,2,17
99/00,Watford FC,1999-08-09,2000-01-08,0,0,2,0,2,5,18
99/00,Newcastle United,1999-08-09,2000-01-08,0,0,2,0,1,4,19
99/00,Sheffield Wednesday,1999-08-09,2000-01-08,0,0,2,0,1,6,20
99/00,Manchester United,1999-08-14,1999-08-16,2,1,0,7,7,1,1
99/00,Aston Villa,1999-08-14,1999-08-16,2,1,0,7,6,2,2
99/00,Arsenal FC,1999-08-14,1999-08-16,2,1,0,7,4,2,3
99/00,Middlesbrough FC,1999-08-14,1999-08-16,2,0,1,6,6,4,4
99/00,Tottenham Hotspur,1999-08-14,1999-08-16,2,0,1,6,6,4,4
99/00,Liverpool FC,1999-08-14,1999-08-16,2,0,1,6,3,2,6
99/00,Southampton FC,1999-08-14,1999-08-16,2,0,1,6,5,5,7
99/00,Chelsea FC,1999-08-14,1999-08-16,1,2,0,5,7,3,8
99/00,Bradford City,1999-08-14,1999-08-16,1,2,0,5,3,2,9
99/00,Leeds United,1999-08-14,1999-08-16,1,1,1,4,3,2,10
99/00,Wimbledon FC,1999-08-14,1999-08-16,1,1,1,4,6,6,11
99/00,Leicester City,1999-08-14,1999-08-16,1,1,1,4,4,4,12
99/00,West Ham United,1999-08-14,1999-08-16,1,1,1,4,3,3,13
99/00,Sunderland AFC,1999-08-14,1999-08-16,1,1,1,4,2,4,14
99/00,Watford FC,1999-08-14,1999-08-16,1,0,2,3,3,5,15
99/00,Coventry City,1999-08-14,1999-08-16,0,1,2,1,1,3,16
99/00,Derby County,1999-08-14,1999-08-16,0,1,2,1,2,5,17
99/00,Everton FC,1999-08-14,1999-08-16,0,1,2,1,3,7,18
99/00,Sheffield Wednesday,1999-08-14,1999-08-16,0,1,2,1,2,7,19
99/00,Newcastle United,1999-08-14,1999-08-16,0,0,3,0,3,8,20
99/00,Manchester United,1999-08-21,1999-08-22,3,1,0,10,9,2,1
99/00,Tottenham Hotspur,1999-08-21,1999-08-22,3,0,1,9,8,5,2
99/00,Middlesbrough FC,1999-08-21,1999-08-22,3,0,1,9,7,4,3
99/00,Chelsea FC,1999-08-21,1999-08-22,2,2,0,8,8,3,4
99/00,Aston Villa,1999-08-21,1999-08-22,2,1,1,7,6,3,5
99/00,Leeds United,1999-08-21,1999-08-22,2,1,1,7,5,3,6
99/00,Arsenal FC,1999-08-21,1999-08-22,2,1,1,7,5,4,7
99/00,West Ham United,1999-08-21,1999-08-22,2,1,1,7,5,4,7
99/00,Liverpool FC,1999-08-21,1999-08-22,2,0,2,6,3,3,9
99/00,Watford FC,1999-08-21,1999-08-22,2,0,2,6,4,5,10
99/00,Southampton FC,1999-08-21,1999-08-22,2,0,2,6,6,9,11
99/00,Wimbledon FC,1999-08-21,1999-08-22,1,2,1,5,9,9,12
99/00,Bradford City,1999-08-21,1999-08-22,1,2,1,5,3,3,13
99/00,Coventry City,1999-08-21,1999-08-22,1,1,2,4,3,3,14
99/00,Everton FC,1999-08-21,1999-08-22,1,1,2,4,7,8,15
99/00,Leicester City,1999-08-21,1999-08-22,1,1,2,4,5,6,16
99/00,Sunderland AFC,1999-08-21,1999-08-22,1,1,2,4,3,6,17
99/00,Newcastle United,1999-08-21,1999-08-22,0,1,3,1,6,11,18
99/00,Derby County,1999-08-21,1999-08-22,0,1,3,1,2,7,19
99/00,Sheffield Wednesday,1999-08-21,1999-08-22,0,1,3,1,3,9,20
99/00,Manchester United,1999-08-23,2000-03-08,4,1,0,13,11,3,1
99/00,Chelsea FC,1999-08-23,2000-03-08,3,2,0,11,9,3,2
99/00,Aston Villa,1999-08-23,2000-03-08,3,1,1,10,7,3,3
99/00,Arsenal FC,1999-08-23,2000-03-08,3,1,1,10,7,4,4
99/00,West Ham United,1999-08-23,2000-03-08,3,1,1,10,7,4,4
99/00,Tottenham Hotspur,1999-08-23,2000-03-08,3,0,2,9,8,6,6
99/00,Liverpool FC,1999-08-23,2000-03-08,3,0,2,9,5,4,7
99/00,Middlesbrough FC,1999-08-23,2000-03-08,3,0,2,9,7,7,8
99/00,Everton FC,1999-08-23,2000-03-08,2,1,2,7,11,8,9
99/00,Leicester City,1999-08-23,2000-03-08,2,1,2,7,8,6,10
99/00,Leeds United,1999-08-23,2000-03-08,2,1,2,7,6,5,11
99/00,Sunderland AFC,1999-08-23,2000-03-08,2,1,2,7,5,7,12
